id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;num_compressor;start_year;Capacity_GWh_h;diameter_mm
INET_PL_3843;MEGAL_Sued_1_13;['INET_PL_384'];['INET_N_141', 'INET_N_33'];[48.573853, 48.55443];[13.721864, 13.751863];['DE', 'AT'];0.0;48.564141500000005;3.0892782935626375;13.7368635;67.5;0.0;1983;9.166666666666664;800.0
INET_PL_3890;MEGAL_Sued_2_10;['INET_PL_389'];['INET_N_162', 'INET_N_153'];[49.633, 49.3198883];[12.319, 12.1091352];['DE', 'DE'];0.0;49.476444150000006;37.98677960861563;12.2140676;67.5;0.0;1983;14.733333333333334;1000.0
INET_PL_3891;MEGAL_Sued_2_11;['INET_PL_389'];['INET_N_153', 'INET_N_146'];[49.3198883, 48.944];[12.1091352, 12.7594];['DE', 'DE'];0.0;49.13194415;63.148926380486614;12.4342676;67.5;0.0;1983;14.733333333333334;1000.0
INET_PL_392;Melizzano_Benevento;['INET_PL_392'];['INET_N_689', 'INET_N_691'];[41.128905, 41.161769];[14.781876, 14.505163];['IT', 'IT'];0.0;41.145337;23.464192704141954;14.6435195;64.0;0.0;1983;1.7800000000000011;508.0
INET_PL_394;Menfi_MazaraDelVallo_1;['INET_PL_394'];['INET_N_661', 'INET_N_660'];[37.65533, 37.602313];[12.597628, 12.968817];['IT', 'IT'];0.0;37.6288215;33.2262917217387;12.7832225;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_396;Menfi_MazaraDelVallo_2;['INET_PL_396'];['INET_N_661', 'INET_N_660'];[37.65533, 37.602313];[12.597628, 12.968817];['IT', 'IT'];0.0;37.6288215;33.2262917217387;12.7832225;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_398;Menfi_MazaraDelVallo_3;['INET_PL_398'];['INET_N_661', 'INET_N_660'];[37.65533, 37.602313];[12.597628, 12.968817];['IT', 'IT'];0.0;37.6288215;33.2262917217387;12.7832225;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_400;Messina_Montalbano_1;['INET_PL_400'];['INET_N_664', 'INET_N_666'];[38.022844, 38.272079];[15.013029, 15.58877];['IT', 'IT'];0.0;38.1474615;57.48795378072464;15.3008995;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_402;Messina_Montalbano_2;['INET_PL_402'];['INET_N_664', 'INET_N_666'];[38.022844, 38.272079];[15.013029, 15.58877];['IT', 'IT'];0.0;38.1474615;57.48795378072464;15.3008995;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_404;Messina_Montalbano_3;['INET_PL_404'];['INET_N_664', 'INET_N_666'];[38.022844, 38.272079];[15.013029, 15.58877];['IT', 'IT'];0.0;38.1474615;57.48795378072464;15.3008995;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_406;MHP;['INET_PL_406'];['INET_N_495', 'INET_N_497'];[51.69076021, 51.71];[-3.955976771, -5.03];['GB', 'GB'];0.0;51.700380105;74.07055538268008;-4.4929883855;75.0;0.0;1983;7.5210199004975085;
