id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;start_year;Capacity_GWh_h;diameter_mm
PLS_5072_Seg_0_Seg_0;PLS_5072_Seg_0_Seg_0;['EntsoG_Map_103660'];['SEQ_11107__S_LMGN', 'N_1491_S_LMGN'];[44.47069, 44.37075];[8.95094, 9.09543];['IT', 'XX'];0.0;44.41624;16.05879;9.02385;70.0;1983.0;19.30775740364929;410.7540856031128
PLS_5073_Seg_0_Seg_0;PLS_5073_Seg_0_Seg_0;['EntsoG_Map_103689'];['N_432_M_LMGN', 'N_1493_S_LMGN'];[44.50445, 44.38896];[8.79519, 8.62523];['IT', 'IT'];0.0;44.45185;18.96131;8.73129;70.0;1983.0;19.30775740364929;410.7540856031128
PLS_5074_Seg_0_Seg_0;PLS_5074_Seg_0_Seg_0;['EntsoG_Map_103778'];['N_917_S_LMGN', 'SEQ_13823__S_LMGN'];[44.6326, 44.92155];[7.7959, 7.68151];['IT', 'IT'];0.0;44.77072;33.57041;7.74152;70.0;1983.0;9.450837530389016;410.7540856031128
PLS_5076_Seg_0_Seg_0;PLS_5076_Seg_0_Seg_0;['EntsoG_Map_104118'];['N_1499_S_LMGN', 'N_1500_S_LMGN'];[46.93927, 46.86543];[5.85333, 5.73684];['FR', 'FR'];0.0;46.90987;12.67352;5.79498;70.0;1983.0;25.825870652028314;
PLS_5077_Seg_0_Seg_0;PLS_5077_Seg_0_Seg_0;['EntsoG_Map_104161'];['N_1501_S_LMGN', 'SEQ_3255__L_LMGN'];[48.2031, 48.06731];[4.71837, 4.59709];['FR', 'FR'];0.0;48.13976;17.59304;4.66168;70.0;1983.0;5.31905434040906;
PLS_5078_Seg_0_Seg_0;PLS_5078_Seg_0_Seg_0;['EntsoG_Map_104161'];['SEQ_3255__L_LMGN', 'N_1502_S_LMGN'];[48.06731, 47.89625];[4.59709, 4.53187];['FR', 'FR'];0.0;47.98462;23.35119;4.5958;70.0;1983.0;5.31905434040906;
PLS_5079_Seg_0_Seg_0;PLS_5079_Seg_0_Seg_0;['EntsoG_Map_104278'];['N_1503_S_LMGN', 'N_1450_S_LMGN'];[44.13819, 43.94747];[4.10329, 4.13838];['FR', 'FR'];0.0;44.03842;21.61632;4.11338;70.0;1983.0;9.450837530389016;
PLS_5080_Seg_0_Seg_0;PLS_5080_Seg_0_Seg_0;['EntsoG_Map_104387'];['N_916_S_LMGN', 'N_687_S_LMGN'];[44.40062, 44.31357];[7.80853, 8.2566];['IT', 'IT'];0.0;44.35749;38.38543;8.03574;70.0;1983.0;9.450837530389016;410.7540856031128
PLS_5082_Seg_0_Seg_0;PLS_5082_Seg_0_Seg_0;['EntsoG_Map_104590'];['SEQ_1493__L_LMGN', 'N_1507_S_LMGN'];[45.32604, 45.74946];[8.30373, 8.23463];['IT', 'IT'];0.0;45.55234;50.48247;8.31404;70.0;1983.0;25.825870652028314;1060.8964118564743
PLS_5083_Seg_0_Seg_0;PLS_5083_Seg_0_Seg_0;['EntsoG_Map_104636'];['N_1508_S_LMGN', 'SEQ_8807__M_LMGN'];[43.44424, 43.51512];[6.73952, 6.60657];['FR', 'FR'];0.0;43.47982;13.55773;6.68146;70.0;1983.0;5.763987643947235;
PLS_5085_Seg_0_Seg_0;PLS_5085_Seg_0_Seg_0;['EntsoG_Map_104863'];['N_329_S_LMGN', 'SEQ_4837__L_LMGN'];[36.33371, 36.41694];[6.51524, 6.73575];['XX', 'XX'];0.0;36.36928;22.43598;6.62971;70.0;1983.0;9.450837530389016;
PLS_5086_Seg_0_Seg_0;PLS_5086_Seg_0_Seg_0;['EntsoG_Map_104863'];['SEQ_4837__L_LMGN', 'N_1510_S_LMGN'];[36.41694, 36.42051];[6.73575, 7.10228];['XX', 'XX'];0.0;36.42211;36.15092;6.92072;70.0;1983.0;9.450837530389016;
PLS_5087_Seg_0_Seg_0;PLS_5087_Seg_0_Seg_0;['EntsoG_Map_105401'];['N_1136_S_LMGN', 'N_932_S_LMGN'];[35.53463, 35.70801];[5.33505, 5.32612];['XX', 'XX'];0.0;35.62772;19.34621;5.32718;70.0;1983.0;9.450837530389016;
PLS_5088_Seg_0_Seg_0;PLS_5088_Seg_0_Seg_0;['EntsoG_Map_105423'];['N_1512_S_LMGN', 'N_933_S_LMGN'];[35.87134, 35.64881];[4.95993, 4.95813];['XX', 'XX'];0.0;35.77174;24.83071;4.96327;70.0;1983.0;9.450837530389016;
PLS_5092_Seg_0_Seg_0;PLS_5092_Seg_0_Seg_0;['EntsoG_Map_105789'];['N_1517_S_LMGN', 'SEQ_2653__L_LMGN'];[39.1654, 39.34151];[16.25241, 16.16627];['IT', 'IT'];0.0;39.24686;21.85336;16.2248;70.0;1983.0;25.825870652028314;1060.8964118564743
PLS_5095_Seg_0_Seg_0;PLS_5095_Seg_0_Seg_0;['EntsoG_Map_105861'];['N_1520_S_LMGN', 'N_1519_S_LMGN'];[41.93582, 41.81512];[14.91421, 14.86566];['IT', 'IT'];0.0;41.88186;14.01469;14.89255;70.0;1983.0;32.860425829422105;410.7540856031128
PLS_5098_Seg_0_Seg_0;PLS_5098_Seg_0_Seg_0;['EntsoG_Map_105977'];['SEQ_3737__L_LMGN', 'N_1217_S_LMGN'];[40.92729, 40.62951];[15.69032, 15.73468];['IT', 'IT'];0.0;40.77285;37.05058;15.6698;70.0;1983.0;26.088540949571076;
PLS_5100_Seg_0_Seg_0;PLS_5100_Seg_0_Seg_0;['EntsoG_Map_106025'];['N_1526_S_LMGN', 'N_1527_S_LMGN'];[40.77097, 40.78107];[15.49945, 15.3598];['IT', 'IT'];0.0;40.77022;12.42208;15.43025;70.0;1983.0;32.860425829422105;
PLS_5101_Seg_0_Seg_0;PLS_5101_Seg_0_Seg_0;['EntsoG_Map_106090'];['N_1218_S_LMGN', 'N_531_S_LMGN'];[40.50131, 40.2416];[17.7581, 18.09554];['IT', 'IT'];0.0;40.40195;44.65689;17.95709;70.0;1983.0;25.825870652028314;410.7540856031128
PLS_5105_Seg_0_Seg_0;PLS_5105_Seg_0_Seg_0;['EntsoG_Map_107687'];['N_1533_S_LMGN', 'SEQ_3965__L_LMGN'];[44.77567, 45.13073];[34.85477, 35.0328];['XX', 'UA'];0.0;44.95283;41.96258;34.9421;70.0;1983.0;25.825870652028314;
PLS_5106_Seg_0_Seg_0;PLS_5106_Seg_0_Seg_0;['EntsoG_Map_108298'];['N_1535_S_LMGN', 'SEQ_2471__M_LMGN'];[42.54473, 42.40034];[43.99328, 44.03435];['GE', 'GE'];0.0;42.45992;16.96986;44.00692;70.0;1983.0;9.450837530389016;692.8629787234044
PLS_5107_Seg_0_Seg_0;PLS_5107_Seg_0_Seg_0;['EntsoG_Map_108502'];['N_952_S_LMGN', 'SEQ_2469__L_LMGN'];[42.25624, 42.20494];[45.30335, 44.72698];['GE', 'GE'];0.0;42.19394;50.44714;45.03808;70.0;1983.0;25.825870652028314;410.7540856031128
PLS_5109_Seg_0_Seg_0;PLS_5109_Seg_0_Seg_0;['EntsoG_Map_108812'];['N_956_S_LMGN', 'N_1538_S_LMGN'];[54.42179, 54.34103];[18.3473, 18.05519];['PL', 'PL'];0.0;54.37114;21.33213;18.19429;70.0;1983.0;5.676040277777777;
PLS_5110_Seg_0_Seg_0;PLS_5110_Seg_0_Seg_0;['EntsoG_Map_108971'];['N_982_S_LMGN', 'SEQ_5231__M_LMGN'];[54.0493, 53.92503];[19.19052, 18.91537];['PL', 'PL'];0.0;53.99467;22.82838;19.05922;70.0;1983.0;5.676040277777777;410.7540856031128
PLS_5112_Seg_0_Seg_0;PLS_5112_Seg_0_Seg_0;['EntsoG_Map_109058'];['N_982_S_LMGN', 'N_1540_S_LMGN'];[54.0493, 54.23526];[19.19052, 19.41856];['PL', 'PL'];0.0;54.14411;26.14092;19.31952;70.0;1983.0;5.676040277777777;410.7540856031128
PLS_5114_Seg_0_Seg_0;PLS_5114_Seg_0_Seg_0;['EntsoG_Map_109218'];['SEQ_7723__L_LMGN', 'SEQ_7725__L_LMGN'];[50.92375, 51.05183];[18.27941, 18.12155];['PL', 'PL'];0.0;50.99701;23.22383;18.17375;70.0;1983.0;9.450837530389016;410.7540856031128
PLS_5115_Seg_0_Seg_0;PLS_5115_Seg_0_Seg_0;['EntsoG_Map_109263'];['N_1543_S_LMGN', 'SEQ_7761__M_LMGN'];[52.78335, 52.68951];[17.18227, 16.98175];['PL', 'PL'];0.0;52.74816;17.87307;17.08697;70.0;1983.0;9.450837530389016;410.7540856031128
PLS_5117_Seg_0_Seg_0;PLS_5117_Seg_0_Seg_0;['EntsoG_Map_109294'];['N_1546_S_LMGN', 'N_1547_S_LMGN'];[51.65889, 51.95832];[15.82106, 15.58515];['PL', 'PL'];0.0;51.811;37.33068;15.69736;70.0;1983.0;9.450837530389016;
PLS_5122_Seg_0_Seg_0;PLS_5122_Seg_0_Seg_0;['EntsoG_Map_109826'];['N_961_S_LMGN', 'N_1554_S_LMGN'];[47.2763, 47.9831];[14.77029, 14.02005];['AT', 'AT'];0.0;47.54749;112.11608;14.29718;70.0;1983.0;15.779425949074072;
PLS_5125_Seg_0_Seg_0;PLS_5125_Seg_0_Seg_0;['EntsoG_Map_110097'];['N_1558_S_LMGN', 'N_1559_S_LMGN'];[45.13754, 45.26867];[18.65595, 18.6338];['HR', 'HR'];0.0;45.20165;14.73009;18.64276;70.0;1983.0;3.2625;
PLS_5126_Seg_0_Seg_0;PLS_5126_Seg_0_Seg_0;['EntsoG_Map_110180'];['N_1560_S_LMGN', 'N_1561_S_LMGN'];[46.03597, 46.25965];[17.37728, 17.26489];['HU', 'HU'];0.0;46.16232;29.89347;17.35215;70.0;1983.0;3.2625;
PLS_5127_Seg_0_Seg_0;PLS_5127_Seg_0_Seg_0;['EntsoG_Map_110220'];['N_1562_S_LMGN', 'N_1563_S_LMGN'];[46.14805, 46.24373];[16.83788, 16.87391];['HR', 'HR'];0.0;46.19985;11.00243;16.85805;70.0;1983.0;3.2625;
PLS_5128_Seg_0_Seg_0;PLS_5128_Seg_0_Seg_0;['EntsoG_Map_110281'];['N_1566_S_LMGN', 'N_1567_S_LMGN'];[46.62167, 46.41097];[17.67253, 17.16171];['HU', 'HU'];0.0;46.52775;47.09748;17.41095;70.0;1983.0;9.450837530389016;410.7540856031128
PLS_5129_Seg_0_Seg_0;PLS_5129_Seg_0_Seg_0;['EntsoG_Map_110305'];['N_738_S_LMGN', 'N_1568_S_LMGN'];[45.46296, 45.76406];[16.90486, 17.15923];['HR', 'HR'];0.0;45.61903;39.39364;17.02325;70.0;1983.0;3.2625;410.7540856031128
PLS_5130_Seg_0_Seg_0;PLS_5130_Seg_0_Seg_0;['EntsoG_Map_110340'];['N_1568_S_LMGN', 'N_739_S_LMGN'];[45.76406, 45.36785];[17.15923, 17.05186];['HR', 'HR'];0.0;45.5383;50.8256;17.17561;70.0;1983.0;3.2625;410.7540856031128
PLS_5131_Seg_0_Seg_0;PLS_5131_Seg_0_Seg_0;['EntsoG_Map_110398'];['N_1569_S_LMGN', 'N_1570_S_LMGN'];[47.4234, 47.62057];[16.97245, 17.12018];['HU', 'HU'];0.0;47.53691;26.2216;17.04178;70.0;1983.0;9.450837530389016;
PLS_5132_Seg_0_Seg_0;PLS_5132_Seg_0_Seg_0;['EntsoG_Map_110411'];['N_1571_S_LMGN', 'N_1572_S_LMGN'];[50.30877, 50.38984];[17.19356, 17.29235];['CZ', 'PL'];0.0;50.34506;11.55339;17.24281;70.0;1983.0;9.450837530389016;
PLS_5133_Seg_0_Seg_0;PLS_5133_Seg_0_Seg_0;['EntsoG_Map_110438'];['N_1572_S_LMGN', 'N_1260_S_LMGN'];[50.38984, 50.64922];[17.29235, 17.47204];['PL', 'PL'];0.0;50.53211;37.40048;17.32299;70.0;1983.0;9.450837530389016;
PLS_5137_Seg_0_Seg_0;PLS_5137_Seg_0_Seg_0;['EntsoG_Map_110638'];['N_1569_S_LMGN', 'N_1575_S_LMGN'];[47.4234, 47.75039];[16.97245, 16.60274];['HU', 'HU'];0.0;47.58008;46.75489;16.78197;70.0;1983.0;9.450837530389016;410.7540856031128
PLS_5138_Seg_0_Seg_0;PLS_5138_Seg_0_Seg_0;['EntsoG_Map_110750'];['N_1576_S_LMGN', 'SEQ_5295__L_LMGN'];[48.84243, 48.94445];[16.50318, 16.55588];['CZ', 'CZ'];0.0;48.89344;11.98425;16.52953;70.0;1983.0;18.66705344655432;
PLS_5140_Seg_0_Seg_0;PLS_5140_Seg_0_Seg_0;['EntsoG_Map_110856'];['SEQ_18137__S_LMGN', 'SEQ_8628_p'];[46.96687, 47.02139];[18.21156, 17.94791];['HU', 'HU'];0.0;46.99572;21.23472;18.0589;70.0;1983.0;9.450837530389016;
PLS_5140_Seg_0_Seg_1;PLS_5140_Seg_0_Seg_1;['EntsoG_Map_110856'];['SEQ_8628_p', 'SEQ_4101__M_LMGN'];[47.02139, 47.64618];[17.94791, 17.84848];['HU', 'HU'];0.0;47.2513;90.69687;17.74414;70.0;1983.0;9.450837530389016;
PLS_5141_Seg_0_Seg_0;PLS_5141_Seg_0_Seg_0;['EntsoG_Map_111060'];['N_1252_S_LMGN', 'N_1580_S_LMGN'];[44.91973, 44.98125];[19.81373, 19.71946];['RS', 'RS'];0.0;44.9515;10.11384;19.76703;70.0;1983.0;9.450837530389016;
PLS_5142_Seg_0_Seg_0;PLS_5142_Seg_0_Seg_0;['EntsoG_Map_111146'];['N_489_M_LMGN', 'SEQ_5243__M_LMGN'];[47.46219, 47.87985];[19.16866, 19.26858];['HU', 'HU'];0.0;47.68768;49.00725;19.18093;70.0;1983.0;9.450837530389016;692.8629787234044
PLS_5143_Seg_0_Seg_0;PLS_5143_Seg_0_Seg_0;['EntsoG_Map_111146'];['SEQ_5243__M_LMGN', 'N_1582_S_LMGN'];[47.87985, 47.99448];[19.26858, 19.21389];['HU', 'HU'];0.0;47.93797;13.62937;19.23487;70.0;1983.0;9.450837530389016;
PLS_5144_Seg_0_Seg_0;PLS_5144_Seg_0_Seg_0;['EntsoG_Map_111369'];['N_1583_S_LMGN', 'SEQ_7897__M_LMGN'];[49.81449, 49.80689];[18.94546, 18.74];['PL', 'PL'];0.0;49.80057;15.66774;18.83348;70.0;1983.0;9.450837530389016;
PLS_5148_Seg_0_Seg_0;PLS_5148_Seg_0_Seg_0;['EntsoG_Map_111585'];['N_409_S_LMGN', 'SEQ_9695__M_LMGN'];[52.60282, 52.34824];[20.54154, 21.08469];['PL', 'PL'];0.0;52.4924;48.16918;20.82196;70.0;1983.0;37.46194824791666;410.7540856031128
PLS_5149_Seg_0_Seg_0;PLS_5149_Seg_0_Seg_0;['EntsoG_Map_111607'];['SEQ_9695__M_LMGN', 'SEQ_9693__M_LMGN'];[52.34824, 52.26368];[21.08469, 21.17994];['PL', 'PL'];0.0;52.3176;14.38017;21.13626;70.0;1983.0;25.825870652028314;
PLS_5150_Seg_0_Seg_0;PLS_5150_Seg_0_Seg_0;['EntsoG_Map_111654'];['SEQ_9691__M_LMGN', 'SEQ_9695__M_LMGN'];[52.20067, 52.34824];[21.31118, 21.08469];['PL', 'PL'];0.0;52.17077;74.06032;21.11544;70.0;1983.0;25.825870652028314;
PLS_5153_Seg_0_Seg_0;PLS_5153_Seg_0_Seg_0;['EntsoG_Map_112164'];['SEQ_7675__L_LMGN', 'SEQ_7677__L_LMGN'];[50.09206, 50.08879];[21.66055, 21.43674];['PL', 'PL'];0.0;50.09042;15.9758;21.54864;70.0;1983.0;25.825870652028314;
PLS_5155_Seg_0_Seg_0;PLS_5155_Seg_0_Seg_0;['EntsoG_Map_112164'];['SEQ_7677__L_LMGN', 'N_755_S_LMGN'];[50.08879, 49.9828];[21.43674, 21.29933];['PL', 'PL'];0.0;50.03408;15.36485;21.36834;70.0;1983.0;25.825870652028314;
PLS_5156_Seg_0_Seg_0;PLS_5156_Seg_0_Seg_0;['EntsoG_Map_112184'];['N_746_S_LMGN', 'N_755_S_LMGN'];[49.78694, 49.9828];[21.55764, 21.29933];['PL', 'PL'];0.0;49.85685;35.03798;21.38874;70.0;1983.0;5.335608796296296;
PLS_5157_Seg_0_Seg_0;PLS_5157_Seg_0_Seg_0;['EntsoG_Map_112309'];['N_1593_S_LMGN', 'N_1594_S_LMGN'];[47.95595, 47.80884];[19.47136, 19.60064];['HU', 'HU'];0.0;47.87649;19.05662;19.53996;70.0;1983.0;9.450837530389016;
PLS_5158_Seg_0_Seg_0;PLS_5158_Seg_0_Seg_0;['EntsoG_Map_112399'];['N_1595_S_LMGN', 'N_1572_S_LMGN'];[50.2752, 50.38984];[17.72252, 17.29235];['CZ', 'PL'];0.0;50.33768;33.53176;17.51902;70.0;1983.0;9.450837530389016;410.7540856031128
